Category,Question,Answer
Celebrities,Who played the lead role in Black Panther? (1),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (2),Argentina
Math,What is the square root of 144? (3),12
Technology,Who founded Microsoft? (4),Bill Gates
Technology,Who founded Microsoft? (5),Bill Gates
History,What year did World War II end? (6),1945
Celebrities,Who played the lead role in Black Panther? (7),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (8),Chadwick Boseman
Science,What planet is known as the Red Planet? (9),Mars
Sports,Which country won the FIFA World Cup in 2022? (10),Argentina
Sports,Which country won the FIFA World Cup in 2022? (11),Argentina
Celebrities,Who played the lead role in Black Panther? (12),Chadwick Boseman
Technology,Who founded Microsoft? (13),Bill Gates
Technology,Who founded Microsoft? (14),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (15),Argentina
Technology,Who founded Microsoft? (16),Bill Gates
Science,What planet is known as the Red Planet? (17),Mars
Technology,Who founded Microsoft? (18),Bill Gates
Geography,What is the capital of France? (19),Paris
Math,What is the square root of 144? (20),12
Sports,Which country won the FIFA World Cup in 2022? (21),Argentina
History,What year did World War II end? (22),1945
Science,What planet is known as the Red Planet? (23),Mars
Culture,Which city is known as 'The Big Apple'? (24),New York City
Math,What is the square root of 144? (25),12
History,What year did World War II end? (26),1945
Technology,Who founded Microsoft? (27),Bill Gates
Culture,Which city is known as 'The Big Apple'? (28),New York City
Celebrities,Who played the lead role in Black Panther? (29),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (30),Chadwick Boseman
Science,What planet is known as the Red Planet? (31),Mars
Celebrities,Who played the lead role in Black Panther? (32),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (33),New York City
Culture,Which city is known as 'The Big Apple'? (34),New York City
Math,What is the square root of 144? (35),12
Sports,Which country won the FIFA World Cup in 2022? (36),Argentina
Geography,What is the capital of France? (37),Paris
Celebrities,Who played the lead role in Black Panther? (38),Chadwick Boseman
Science,What planet is known as the Red Planet? (39),Mars
Celebrities,Who played the lead role in Black Panther? (40),Chadwick Boseman
Math,What is the square root of 144? (41),12
Culture,Which city is known as 'The Big Apple'? (42),New York City
Technology,Who founded Microsoft? (43),Bill Gates
Celebrities,Who played the lead role in Black Panther? (44),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (45),Argentina
Technology,Who founded Microsoft? (46),Bill Gates
Math,What is the square root of 144? (47),12
Celebrities,Who played the lead role in Black Panther? (48),Chadwick Boseman
Technology,Who founded Microsoft? (49),Bill Gates
Celebrities,Who played the lead role in Black Panther? (50),Chadwick Boseman
Science,What planet is known as the Red Planet? (51),Mars
Math,What is the square root of 144? (52),12
Geography,What is the capital of France? (53),Paris
Culture,Which city is known as 'The Big Apple'? (54),New York City
History,What year did World War II end? (55),1945
Culture,Which city is known as 'The Big Apple'? (56),New York City
Culture,Which city is known as 'The Big Apple'? (57),New York City
Technology,Who founded Microsoft? (58),Bill Gates
Math,What is the square root of 144? (59),12
Celebrities,Who played the lead role in Black Panther? (60),Chadwick Boseman
History,What year did World War II end? (61),1945
Technology,Who founded Microsoft? (62),Bill Gates
History,What year did World War II end? (63),1945
Geography,What is the capital of France? (64),Paris
Science,What planet is known as the Red Planet? (65),Mars
Math,What is the square root of 144? (66),12
Technology,Who founded Microsoft? (67),Bill Gates
Culture,Which city is known as 'The Big Apple'? (68),New York City
Sports,Which country won the FIFA World Cup in 2022? (69),Argentina
Technology,Who founded Microsoft? (70),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (71),Argentina
Culture,Which city is known as 'The Big Apple'? (72),New York City
Science,What planet is known as the Red Planet? (73),Mars
Math,What is the square root of 144? (74),12
Celebrities,Who played the lead role in Black Panther? (75),Chadwick Boseman
Technology,Who founded Microsoft? (76),Bill Gates
Culture,Which city is known as 'The Big Apple'? (77),New York City
Technology,Who founded Microsoft? (78),Bill Gates
Geography,What is the capital of France? (79),Paris
Science,What planet is known as the Red Planet? (80),Mars
Geography,What is the capital of France? (81),Paris
History,What year did World War II end? (82),1945
Math,What is the square root of 144? (83),12
History,What year did World War II end? (84),1945
Technology,Who founded Microsoft? (85),Bill Gates
Math,What is the square root of 144? (86),12
Science,What planet is known as the Red Planet? (87),Mars
Science,What planet is known as the Red Planet? (88),Mars
Culture,Which city is known as 'The Big Apple'? (89),New York City
Technology,Who founded Microsoft? (90),Bill Gates
History,What year did World War II end? (91),1945
Geography,What is the capital of France? (92),Paris
Celebrities,Who played the lead role in Black Panther? (93),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (94),Argentina
Celebrities,Who played the lead role in Black Panther? (95),Chadwick Boseman
History,What year did World War II end? (96),1945
History,What year did World War II end? (97),1945
Science,What planet is known as the Red Planet? (98),Mars
Celebrities,Who played the lead role in Black Panther? (99),Chadwick Boseman
Science,What planet is known as the Red Planet? (100),Mars
Science,What planet is known as the Red Planet? (101),Mars
Geography,What is the capital of France? (102),Paris
Math,What is the square root of 144? (103),12
Sports,Which country won the FIFA World Cup in 2022? (104),Argentina
Celebrities,Who played the lead role in Black Panther? (105),Chadwick Boseman
Math,What is the square root of 144? (106),12
Culture,Which city is known as 'The Big Apple'? (107),New York City
Celebrities,Who played the lead role in Black Panther? (108),Chadwick Boseman
Math,What is the square root of 144? (109),12
Science,What planet is known as the Red Planet? (110),Mars
History,What year did World War II end? (111),1945
Geography,What is the capital of France? (112),Paris
Sports,Which country won the FIFA World Cup in 2022? (113),Argentina
Math,What is the square root of 144? (114),12
History,What year did World War II end? (115),1945
Celebrities,Who played the lead role in Black Panther? (116),Chadwick Boseman
Math,What is the square root of 144? (117),12
Technology,Who founded Microsoft? (118),Bill Gates
History,What year did World War II end? (119),1945
Culture,Which city is known as 'The Big Apple'? (120),New York City
History,What year did World War II end? (121),1945
Sports,Which country won the FIFA World Cup in 2022? (122),Argentina
Culture,Which city is known as 'The Big Apple'? (123),New York City
Geography,What is the capital of France? (124),Paris
Sports,Which country won the FIFA World Cup in 2022? (125),Argentina
Celebrities,Who played the lead role in Black Panther? (126),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (127),New York City
Math,What is the square root of 144? (128),12
Technology,Who founded Microsoft? (129),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (130),Argentina
Technology,Who founded Microsoft? (131),Bill Gates
Celebrities,Who played the lead role in Black Panther? (132),Chadwick Boseman
Celebrities,Who played the lead role in Black Panther? (133),Chadwick Boseman
Geography,What is the capital of France? (134),Paris
Celebrities,Who played the lead role in Black Panther? (135),Chadwick Boseman
History,What year did World War II end? (136),1945
History,What year did World War II end? (137),1945
Geography,What is the capital of France? (138),Paris
History,What year did World War II end? (139),1945
Math,What is the square root of 144? (140),12
Science,What planet is known as the Red Planet? (141),Mars
Technology,Who founded Microsoft? (142),Bill Gates
Technology,Who founded Microsoft? (143),Bill Gates
Math,What is the square root of 144? (144),12
Science,What planet is known as the Red Planet? (145),Mars
Culture,Which city is known as 'The Big Apple'? (146),New York City
Geography,What is the capital of France? (147),Paris
Geography,What is the capital of France? (148),Paris
Celebrities,Who played the lead role in Black Panther? (149),Chadwick Boseman
Technology,Who founded Microsoft? (150),Bill Gates
Technology,Who founded Microsoft? (151),Bill Gates
Celebrities,Who played the lead role in Black Panther? (152),Chadwick Boseman
Culture,Which city is known as 'The Big Apple'? (153),New York City
Sports,Which country won the FIFA World Cup in 2022? (154),Argentina
Technology,Who founded Microsoft? (155),Bill Gates
Technology,Who founded Microsoft? (156),Bill Gates
Sports,Which country won the FIFA World Cup in 2022? (157),Argentina
Celebrities,Who played the lead role in Black Panther? (158),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (159),Argentina
Technology,Who founded Microsoft? (160),Bill Gates
Celebrities,Who played the lead role in Black Panther? (161),Chadwick Boseman
Sports,Which country won the FIFA World Cup in 2022? (162),Argentina
Culture,Which city is known as 'The Big Apple'? (163),New York City
Celebrities,Who played the lead role in Black Panther? (164),Chadwick Boseman
Technology,Who founded Microsoft? (165),Bill Gates
Math,What is the square root of 144? (166),12
Geography,What is the capital of France? (167),Paris
Technology,Who founded Microsoft? (168),Bill Gates
History,What year did World War II end? (169),1945
Geography,What is the capital of France? (170),Paris
Technology,Who founded Microsoft? (171),Bill Gates
Geography,What is the capital of France? (172),Paris
Science,What planet is known as the Red Planet? (173),Mars
